1,110,105,0.00,0.00,0,0,0,0
2,109,105,0.00,0.00,0,0,0,0
3,110,105,0.00,0.00,0,0,0,0
4,109,104,1.08,0.81,100,25,128,32
5,108,103,0.54,0.40,199,59,254,76
6,108,108,0.54,0.40,199,83,266,108
7,107,107,0.54,0.40,198,99,264,130
8,112,111,0.54,0.54,207,112,205,139
9,111,106,0.68,0.54,164,118,196,145
10,111,110,0.68,0.68,164,123,162,147
11,110,109,0.54,0.81,203,130,134,146
12,109,109,0.40,0.81,269,141,134,145
13,109,108,0.54,0.81,201,146,133,144
14,109,108,0.68,0.68,161,147,160,145
15,108,103,0.54,0.95,199,150,108,142
16,107,107,0.81,0.81,132,149,132,142
17,103,106,0.95,0.81,108,147,130,141
18,106,106,1.08,0.81,98,144,130,140
19,111,105,1.35,0.81,82,141,129,140
20,110,105,1.62,0.95,67,137,111,138
21,109,105,1.62,0.81,67,134,129,138
22,109,104,1.62,0.81,67,131,128,137
23,108,103,1.62,0.95,66,128,108,136
24,104,103,1.62,0.81,64,125,127,136
25,107,102,1.62,0.95,66,123,107,135
26,103,102,1.49,0.81,69,121,125,134
27,102,102,1.62,0.95,62,118,107,133
28,102,101,1.62,0.81,62,116,124,133
29,101,100,1.49,0.95,68,115,105,132
30,100,100,1.62,0.95,61,113,105,131
31,100,99,1.49,0.95,67,111,104,130
32,99,99,1.62,0.81,61,110,122,130
33,99,98,1.49,0.95,66,109,103,129
34,98,98,1.35,1.08,72,107,90,128
35,98,102,1.35,1.35,72,106,75,126
36,97,101,1.49,1.75,65,105,57,124
37,101,96,1.35,2.16,74,104,44,122
38,101,96,1.49,2.30,68,103,41,120
39,100,95,1.62,2.30,61,102,41,118
40,100,94,1.49,2.30,67,101,40,116
41,99,94,1.49,2.30,66,101,40,114
42,99,94,1.62,2.16,61,100,43,112
43,98,97,1.49,2.16,65,99,44,111
44,98,97,1.49,2.16,65,98,44,109
45,97,92,1.49,2.16,65,97,42,108
46,97,91,1.35,2.16,71,97,42,106
47,96,91,1.49,2.16,64,96,42,105
48,96,90,1.49,2.03,64,95,44,104
49,95,94,1.35,2.16,70,95,43,102
50,95,90,1.49,2.16,63,94,41,101
51,94,93,1.49,2.03,63,93,45,100
52,94,93,1.35,1.89,69,93,49,99
53,93,88,1.49,2.03,62,92,43,98
54,92,87,1.49,2.03,61,92,42,97
55,88,87,1.49,2.03,59,91,42,96
56,87,86,1.35,2.03,64,91,42,95
57,86,90,1.49,2.03,57,90,44,94
58,86,86,1.35,2.16,63,90,39,93
59,90,89,1.49,2.03,60,89,43,92
60,89,88,1.35,2.16,65,89,40,91
61,89,84,1.49,1.89,59,88,44,91
62,84,83,1.35,1.89,62,88,43,90
63,83,82,1.49,1.89,55,87,43,89
64,83,82,1.35,1.89,61,87,43,88
65,82,85,1.35,2.03,60,86,41,88
66,82,85,1.35,2.03,60,86,41,87
67,81,85,1.22,1.89,66,86,44,86
68,80,84,1.35,2.03,59,85,41,86
69,80,80,1.35,1.89,59,85,42,85
70,79,79,1.35,2.03,58,85,39,84
71,79,78,1.22,1.89,65,84,41,84
72,78,78,1.35,2.03,57,84,38,83
73,78,81,1.35,1.89,57,83,42,82
74,77,81,1.35,2.03,57,83,40,82
75,77,81,1.35,1.89,57,83,42,81
76,76,80,1.49,2.03,51,82,39,81
77,76,75,1.35,2.03,56,82,37,80
78,80,75,1.35,2.03,59,82,37,80
79,79,74,1.35,2.03,58,81,36,79
